more_details_url,make,model,battery_,towbar,market_segment,number_of_seats,acceleration,top_speed,range,efficiency,fastcharge,germany_price,nl_price,uk_price,,,,,,,,,,,,,,,,,,,
https://ev-database.org/car/1471/Kia-EV6-GT,Kia,EV6 GT,74,Towbar possible,SUV,5,3.5,260,360,206,940,72990,69295,62645,,,,,,,,,,,,,,,,,,,
https://ev-database.org/car/1747/Hongqi-E-HS9-99-kWh,Hongqi,E-HS9 99 kWh,90,Towbar possible,SUV,5,4.9,200,370,243,430,N/A,94590,N/A,,,,,,,,,,,,,,,,,,,
https://ev-database.org/car/1707/MG-MG4-Electric-51-kWh,MG,MG4 Electric 51 kWh,50.8,Towbar possible,Hatchback,5,7.7,160,300,169,340,34990,32285,26995,,,,,,,,,,,,,,,,,,,
https://ev-database.org/car/1541/MG-ZS-EV-Long-Range,MG,ZS EV Long Range,68.3,Towbar possible,SUV,5,8.4,175,370,185,420,37990,39885,32995,,,,,,,,,,,,,,,,,,,
https://ev-database.org/car/1519/BMW-i4-M50,BMW,i4 M50,80.7,Towbar possible,Sedan,5,3.9,225,450,179,700,70800,76786,71085,,,,,,,,,,,,,,,,,,,
https://ev-database.org/car/1676/BMW-i7-xDrive60,BMW,i7 xDrive60,101.7,Towbar possible,Sedan,5,4.7,240,510,199,760,139900,145453,113970,,,,,,,,,,,,,,,,,,,
https://ev-database.org/car/1164/Renault-Zoe-ZE50-R110,Renault,Zoe ZE50 R110,52,Towbar not possible,Hatchback,5,11.4,135,315,165,230,36840,34895,N/A,,,,,,,,,,,,,,,,,,,
https://ev-database.org/car/1583/Peugeot-e-208,Peugeot,e-208,46.3,Towbar not possible,Hatchback,5,8.1,150,285,162,460,39100,N/A,31595,,,,,,,,,,,,,,,,,,,
https://ev-database.org/car/1719/Hyundai-IONIQ-6-Long-Range-AWD,Hyundai,IONIQ 6 Long Range AWD,74,Towbar possible,Sedan,5,5.1,185,440,168,1150,61100,59395,50540,,,,,,,,,,,,,,,,,,,
https://ev-database.org/car/1831/Volkswagen-ID3-Pro,Volkswagen,ID.3 Pro,58,Towbar possible,Hatchback,5,7.3,160,350,166,450,39995,44990,37115,,,,,,,,,,,,,,,,,,,
https://ev-database.org/car/1314/Volkswagen-ID4-Pro-Performance,Volkswagen,ID.4 Pro Performance,77,Towbar possible,SUV,5,8.5,160,410,188,630,46335,53690,46035,,,,,,,,,,,,,,,,,,,
https://ev-database.org/car/1481/Kia-EV6-Long-Range-2WD,Kia,EV6 Long Range 2WD,74,Towbar possible,SUV,5,7.3,185,410,180,1070,51990,51995,45245,,,,,,,,,,,,,,,,,,,
https://ev-database.org/car/1785/BMW-i4-eDrive35,BMW,i4 eDrive35,67,Towbar possible,Sedan,5,6,190,430,156,580,56500,59362,49995,,,,,,,,,,,,,,,,,,,
https://ev-database.org/car/1770/Audi-Q8-e-tron-55-quattro,Audi,Q8 e-tron 55 quattro,106,Towbar possible,SUV,5,5.6,200,495,214,630,85300,82985,77800,,,,,,,,,,,,,,,,,,,
https://ev-database.org/car/1564/Toyota-bZ4X-FWD,Toyota,bZ4X FWD,64,Towbar possible,SUV,5,7.5,160,340,188,510,47490,48995,46110,,,,,,,,,,,,,,,,,,,
https://ev-database.org/car/1651/Volkswagen-ID-Buzz-Pro,Volkswagen,ID. Buzz Pro,77,Towbar possible,SPV,5,10.2,145,345,223,480,64581,66160,58915,,,,,,,,,,,,,,,,,,,
https://ev-database.org/car/1285/Fiat-500e-Hatchback-42-kWh,Fiat,500e Hatchback 42 kWh,37.3,Towbar not possible,Hatchback,4,9,150,235,159,390,34990,34490,31195,,,,,,,,,,,,,,,,,,,
https://ev-database.org/car/1474/MG-MG5-Electric-Long-Range,MG,MG5 Electric Long Range,57.4,Towbar possible,Station,5,7.7,185,335,171,330,38490,38885,30995,,,,,,,,,,,,,,,,,,,
https://ev-database.org/car/1409/Mini-Cooper-SE,Mini,Cooper SE,28.9,Towbar not possible,Hatchback,4,7.3,150,180,161,260,35700,38690,32550,,,,,,,,,,,,,,,,,,,
https://ev-database.org/car/1420/Audi-e-tron-GT-quattro,Audi,e-tron GT quattro,85,Towbar not possible,Sedan,4,4.1,245,420,202,1030,106050,111115,87800,,,,,,,,,,,,,,,,,,,
https://ev-database.org/car/1816/Jeep-Avenger-Electric,Jeep,Avenger Electric,50.8,Towbar not possible,SUV,5,9,150,300,169,480,37000,39500,35700,,,,,,,,,,,,,,,,,,,
https://ev-database.org/car/1718/Hyundai-IONIQ-6-Long-Range-2WD,Hyundai,IONIQ 6 Long Range 2WD,74,Towbar possible,Sedan,5,7.4,185,495,149,1290,54000,50895,47040,,,,,,,,,,,,,,,,,,,
https://ev-database.org/car/1909/Volvo-EX30-Single-Motor,Volvo,EX30 Single Motor,49,Towbar possible,SUV,5,5.7,180,280,175,430,36590,36795,33795,,,,,,,,,,,,,,,,,,,
https://ev-database.org/car/1627/Volkswagen-ID4-Pro,Volkswagen,ID.4 Pro,77,Towbar possible,SUV,5,10.4,160,410,188,630,N/A,51990,44605,,,,,,,,,,,,,,,,,,,
https://ev-database.org/car/1944/MG-MG4-Electric-XPOWER,MG,MG4 Electric XPOWER,61.7,Towbar not possible,Hatchback,5,3.8,200,325,190,370,46990,N/A,36495,,,,,,,,,,,,,,,,,,,
https://ev-database.org/car/1973/MG-MG4-Electric-77-kWh,MG,MG4 Electric 77 kWh,74.4,Towbar not possible,Hatchback,5,6.5,180,425,175,430,N/A,N/A,36495,,,,,,,,,,,,,,,,,,,
